,dt,duh_op_team_org_id_nm,dul_eqp_nm,duh_nm,NRCellDU,gnb_cell,txbs1,temp1,txdbm1,rxdbm1,txbs2,temp2,txdbm2,rxdbm2,vendor1,vendorprod1,serial1,vendor2,vendorprod2,serial2,duh_erp_bld_addr,dul_erp_lat_val,dul_erp_lng_val,txbs1_set,txbs2_set,Noti1,Noti2,Noti3
1083,20241011,창원품질개선팀,(화단)_진해청안부영3차308동앞AAU_1,kn-jinhae-namyang-GX47,kn-jinhae-namyang-GX47_04,1185531_04,46%,49C,-1.80,-3.96,88%,49C,2.77,-13.01,OpticoreInc.,SPBXG-KSLRM27,M0017212003793,Finisar,FTLB8611P3NC-HR,V37WC790,51612 경남 창원시 진해구 남양동 408번지,35.105229,128.804558,46,88,양호,불량,txbs2 불량
2493,20241011,창원품질개선팀,(화단)_진해청안부영3차308동앞AAU_2,kn-jinhae-namyang-GX47,kn-jinhae-namyang-GX47_05,1185531_05,47%,49C,-1.64,-5.09,85%,48C,2.74,-12.63,OpticoreInc.,SPBXG-KSLRM27,M0017212003792,Finisar,FTLB8611P3NC-HR,V37WC77R,51612 경남 창원시 진해구 남양동 408번지,35.105229,128.804558,47,85,양호,불량,txbs2 불량
5382,20241011,동부산품질개선팀,금정회동로젠택배앞전주AAU_2,bs-geumjeong-anrak-GX16,bs-geumjeong-anrak-GX16_04,1185655_04,36%,34C,-1.83,-2.88,85%,29C,2.67,-14.49,OpticoreInc.,SPBXG-KSLRM27,M0017202001082,Finisar,FTLB8611P3NC-HR,V23W9D79,47890 부산 동래구 안락동 606-1번지,35.234036,129.127714,36,85,양호,불량,txbs2 불량
7876,20241011,울산품질개선팀,(화)울산중구우정혁신LH1단지110동AAU_1,us-junggu-bangu-GX70,us-junggu-bangu-GX70_00,1184914_00,45%,45C,-1.53,-4.23,81%,50C,2.51,-13.12,OpticoreInc.,SPBXG-KSLRM27,M0017212004004,Finisar,FTLB8611P3NC-HR,V24W9GLF,44510 울산 중구 반구동 100-4번지,35.5824914,129.342525,45,81,양호,불량,txbs2 불량
8915,20241011,김해품질개선팀,거가대로천성영업소AAU_2,bs-gangseo-gadeokdo-GX03,bs-gangseo-gadeokdo-GX03_03,1183324_03,42%,46C,2.40,-18.24,80%,33C,2.97,-12.80,OESOLUTIONS,RDPX0MLE-I29C2R,P29C2PE4000098,OESOLUTIONS,RDPX0MLE-I28C2,P28C2PB2300513,46770 부산 강서구 천성동 880번지,35.025476,128.817416,42,80,양호,불량,txbs2 불량
10370,20241011,창원품질개선팀,(공동)함안대산산호수출AAU_2,kn-haman-daesanGX06,kn-haman-daesanGX06_02,1186999_02,80%,47C,5.55,-9.83,39%,40C,1.79,-12.54,OESOLUTIONS,RDPX0MLE-I29C2,K29C2PA4700197,OESOLUTIONS,RDPX0MLE-I28C2R,P28D2PD4000069,52011 경남 함안군 대산면 구혜리 331-2번지,35.342507,128.468889,80,39,불량,양호,txbs1 불량
14276,20241011,김해품질개선팀,강서강동3(기)AAU_2,bs-gangseo-daejeo-GX01,bs-gangseo-daejeo-GX01_03,1181896_03,41%,46C,2.73,-15.09,80%,31C,3.15,-12.37,OESOLUTIONS,RDPX0MLE-I29C2R,P29D2PD3300118,OESOLUTIONS,RDPX0MLE-I28C2,P28C2PB2300481,46720 부산 강서구 대저2동 2698-1번지,35.1997219,128.9272219,41,80,양호,불량,txbs2 불량
17456,20241011,창원품질개선팀,마창대교AAU_2,kn-happo-seoseong-GX16,kn-happo-seoseong-GX16_00,1184334_00,36%,39C,-1.66,-2.23,82%,36C,2.64,-11.73,OpticoreInc.,SPBXG-KSLRM27,M0017202009647,Finisar,FTLB8611P3NC-HR,V24W9GLC,51285 경남 창원시 마산합포구 서성동 83-6번지,35.159429,128.585681,36,82,양호,불량,txbs2 불량
19309,20241011,창원품질개선팀,(화)진해용원현대3AAU_2,kn-jinhae-namyang-GX40,kn-jinhae-namyang-GX40_04,1184391_04,39%,43C,-1.08,-2.60,87%,40C,2.73,-16.07,OpticoreInc.,SPBXG-KSLRM27,M0017202003626,Finisar,FTLB8611P3NC-HR,V31WC0T2,51612 경남 창원시 진해구 남양동 408번지,35.10376,128.808304,39,87,양호,불량,txbs2 불량
20909,20241011,동부산품질개선팀,연제연산더샵2AAU_2,bs-dongrae-anrak-10-07,bs-dongrae-anrak-10-07_06,1180652_06,37%,38C,-1.56,-1.85,92%,34C,2.79,-13.94,OpticoreInc.,SPBXG-KSLRM27,M0017202001598,Finisar,FTLB8611P3NC-HR,V27W9PR9,47890 부산 동래구 안락동 606-1번지,35.1728708,129.0847089,37,92,양호,불량,txbs2 불량
21485,20241011,김해품질개선팀,(고_남해2)서부산ICAAU_2,bs-gangseo-daejeo-GX07,bs-gangseo-daejeo-GX07_03,1181902_03,39%,41C,2.16,-16.20,81%,31C,3.96,-11.21,OESOLUTIONS,RDPX0MLE-I29C2R,P29D2PD4000174,OESOLUTIONS,RDPX0MLE-I28C2,P28C2PB2300018,46720 부산 강서구 대저2동 2698-1번지,35.156777,128.955527,39,81,양호,불량,txbs2 불량
29598,20241011,김해품질개선팀,(아)강서화전우방아이유쉘115동AAU_1,bs-gangseo-sinho-GX38,bs-gangseo-sinho-GX38_02,1184353_02,94%,44C,0.77,-6.95,21%,40C,5.43,-3.47,OpticoreInc.,MCD2X-KSLRFO29,M0114221000719,IntecE&C,IDS-1027ALB-IR_S,IDS2700-21900601,46759 부산 강서구 신호동 214-12번지,35.109173,128.886192,94,21,불량,양호,txbs1 불량
36302,20241011,동부산품질개선팀,(고_외곽)부산외곽순환금정교AAU_1,bs-geumjeong-guseo-GX10,bs-geumjeong-guseo-GX10_06,1181561_06,21%,40C,-2.15,-2.20,97%,40C,2.92,-14.74,LightronInc.,WSPXG-EI3LC-IHA,S191462510,Finisar,FTLB8611P3NC-HR,U49W7K5C,46274 부산 금정구 구서동 420-30번지,35.283333,129.118611,21,97,양호,불량,txbs2 불량
37526,20241011,동부산품질개선팀,광안대교주탑2하판AAU_2,bs-suyoung-namcheon-20-13,bs-suyoung-namcheon-20-13_05,1183367_05,36%,43C,1.93,-25.23,82%,37C,3.67,-13.46,OESOLUTIONS,RDPX0MLE-I29C2R,P29D2PD4000084,OESOLUTIONS,RDPX0MLE-I28C2,P28C2PB2200006,48307 부산 수영구 남천동 11-2번지,35.144091,129.126875,36,82,양호,불량,txbs2 불량
44358,20241011,울산품질개선팀,울산온양2(기)AAU_1,us-ulju-onsan-GX13,us-ulju-onsan-GX13_03,1183740_03,38%,36C,-1.67,-4.11,87%,35C,2.71,-9.23,OpticoreInc.,SPBXG-KSLRM27,M0017202003652,Finisar,FTLB8611P3NC-HR,V37WC6RR,45002 울산 울주군 온산읍 덕신리 191-3번지,35.405908,129.287266,38,87,양호,불량,txbs2 불량
45839,20241011,통영품질개선팀,(공동)(항)통영비진도2AAU_2,kn-tongyrong-bijindo-GX01,kn-tongyrong-bijindo-GX01_03,1185178_03,23%,36C,5.61,-2.53,87%,39C,5.03,-5.71,IntecE&C,IDS-1033ALB-IR_S,IDS3300-22300586,IntecE&C,IDS-1031ALB-IR_S,IDS3100-22300606,53096 경남 통영시 한산면 비진리 148번지,34.731642,128.461506,23,87,양호,불량,txbs2 불량
48478,20241011,서부산품질개선팀,(캠)_개금동3AAU_3,bs-jingu-gaegeum-10-01,bs-jingu-gaegeum-10-01_08,1179818_08,25%,40C,-3.18,-3.71,86%,43C,2.83,-13.88,OESOLUTIONS,RBTX0MS1-I27,H1753PB0700016,Finisar,FTLB8611P3NC-HR,V30W9XQ1,47191 부산 부산진구 부암동 52-6번지,35.149888,129.019969,25,86,양호,불량,txbs2 불량
50802,20241011,울산품질개선팀,울산야음홈타운(기)AAU_2,us-namgu-sinjeong-10-15,us-namgu-sinjeong-10-15_04,1180681_04,85%,46C,2.64,-8.36,50%,35C,2.59,-11.62,LightronInc.,HBDXG-AF5MD-I10,S193819419W0,LightronInc.,HBDXG-AF5MD-I02,S193009303W0,44674 울산 남구 신정동 700-4번지,35.53079,129.3239217,85,50,불량,양호,txbs1 불량
50820,20241011,서부산품질개선팀,수영망미이진캐스빌2AAU_2,bs-yeonje-yeonsan-10-35,bs-yeonje-yeonsan-10-35_07,1181177_07,26%,51C,-3.14,-6.82,83%,42C,2.84,-14.93,OESOLUTIONS,RBTX0MS1-I27,H1753PB1100525,Finisar,FTLB8611P3NC-HR,V27W9QF1,47890 부산 동래구 안락동 606-1번지,35.1684292,129.1004267,26,83,양호,불량,txbs2 불량
50892,20241011,김해품질개선팀,5G_(인_SK)김해안동푸르지오205동지상IB_PRU_01,kn-gimhae-gimhaeb-GX19,kn-gimhae-gimhaeb-GX19_02,1187672_02,91%,44C,2.98,-6.33,70%,43C,3.12,-6.20,IntecE&C,IDS-1049ALB-IR_S,IDS4900-23600030,IntecE&C,IDS-1047ALB-IR_S,IDS4700-23600025,50930 경남 김해시 어방동 1098-5번지,35.2373161,128.9120578,91,70,불량,양호,txbs1 불량
51269,20241011,김해품질개선팀,5G_(인_SK)김해안동푸르지오205동지상IB_PRU_02,kn-gimhae-gimhaeb-GX19,kn-gimhae-gimhaeb-GX19_02,1187672_02,91%,44C,2.98,-6.33,70%,43C,3.12,-6.20,IntecE&C,IDS-1049ALB-IR_S,IDS4900-23600030,IntecE&C,IDS-1047ALB-IR_S,IDS4700-23600025,50930 경남 김해시 어방동 1098-5번지,35.2373161,128.9120578,91,70,불량,양호,txbs1 불량
64947,20241011,동부산품질개선팀,(아)해운대좌동KCC스위첸103동AAU_3,bs-haeundae-jwadong-20-02,bs-haeundae-jwadong-20-02_11,1180348_11,79%,43C,1.92,-10.32,82%,44C,1.44,-10.30,OpticoreInc.,MCD2X-KSLRLC43,M0125231000047,OpticoreInc.,MCD2X-KSLRLC41,M0124231000081,48080 부산 해운대구 좌동 1386번지,35.172864,129.177924,79,82,양호,불량,txbs2 불량
65087,20241011,서부산품질개선팀,(아)남구더비치푸르지오써밋104동AAU_4,bs-namgu-namcheon-20-08,bs-namgu-namcheon-20-08_11,1183302_11,79%,46C,3.23,-7.06,87%,37C,3.20,-6.28,IntecE&C,IDS-1049ALB-I20R,IDS4900-22600039,IntecE&C,IDS-1047ALB-IR_S,IDS4700-23600008,48307 부산 수영구 남천동 11-2번지,35.1367539,129.1084247,79,87,양호,불량,txbs2 불량
66562,20241011,김해품질개선팀,(고_남해)강서대저대흥기업사앞AAU_1,bs-gangseo-daejeo-20-06,bs-gangseo-daejeo-20-06_00,1183091_00,94%,42C,1.27,-13.37,,,,,OpticoreInc.,MCD2X-KSLRFO29,M0114231001331,OpticoreInc.,MCD2X-KSLRFO21,M0106241000928,46720 부산 강서구 대저2동 2698-1번지,35.21875,128.983922,94,0,불량,양호,txbs1 불량
69607,20241011,김해품질개선팀,(아)강서명지더샵2단지앞AAU_3,bs-gangseo-sinho-20-09,bs-gangseo-sinho-20-09_07,1185469_07,88%,56C,1.35,-9.39,82%,31C,1.63,-9.24,IntecE&C,IDS-2543ALB-IR_S,IDS4300-23720014,IntecE&C,IDS-2541ALB-IR_S,IDS4100-23720014,46759 부산 강서구 신호동 214-12번지,35.09954,128.904601,88,82,불량,불량,"txbs1,txbs2 불량"
70988,20241011,서부산품질개선팀,동구초량12AAU_2,bs-donggu-beomil-10-01,bs-donggu-beomil-10-01_08,1180407_08,82%,45C,7.10,-11.49,37%,42C,2.65,-11.12,OESOLUTIONS,RDPX0MLE-I29C2,K29C2PB0800056,OESOLUTIONS,RDPX0MLE-I28C2R,P28D2PD3000100,48779 부산 동구 수정동 658-19번지,35.115534,129.037986,82,37,불량,양호,txbs1 불량
