발생월,발생일,시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
01,01,서울,중구,3,0,0,2,1
01,01,서울,용산구,4,0,1,3,0
01,01,서울,성동구,1,0,1,0,0
01,01,서울,동대문구,2,0,1,1,0
01,01,서울,도봉구,5,0,4,1,0
01,01,서울,은평구,3,0,1,2,0
01,01,서울,서대문구,1,0,1,1,0
01,01,서울,마포구,2,0,1,1,1
01,01,서울,강서구,1,0,1,0,0
01,01,서울,구로구,2,0,1,1,0
01,01,서울,영등포구,3,0,0,2,1
01,01,서울,동작구,2,0,1,1,0
01,01,서울,관악구,3,0,0,4,0
01,01,서울,강남구,9,0,1,14,0
01,01,서울,강동구,2,0,0,5,0
01,01,서울,송파구,7,0,4,8,0
01,01,서울,서초구,2,0,1,6,0
01,01,서울,중랑구,3,0,1,4,0
01,01,서울,노원구,6,0,0,8,3
01,01,서울,강북구,4,0,1,4,1
01,01,서울,금천구,1,0,0,0,1
01,01,부산,영도구,1,0,0,2,0
01,01,부산,부산진구,4,0,1,3,0
01,01,부산,동래구,2,0,0,3,0
01,01,부산,남구,1,0,0,1,0
01,01,부산,해운대구,1,0,1,2,0
01,01,부산,사하구,3,0,2,1,0
01,01,부산,강서구,3,0,5,2,0
01,01,부산,수영구,3,0,1,2,0
01,01,부산,사상구,1,0,0,1,0
01,01,부산,기장군,5,1,0,11,0
01,01,경기,수원시,13,0,4,13,1
01,01,경기,성남시,6,0,2,6,0
01,01,경기,의정부시,1,0,0,1,0
01,01,경기,안양시,1,0,0,1,0
01,01,경기,부천시,7,0,2,5,1
01,01,경기,안산시,6,0,1,8,3
01,01,경기,평택시,5,0,2,4,0
01,01,경기,구리시,1,0,1,1,0
01,01,경기,화성시,6,0,4,5,0
01,01,경기,시흥시,4,0,0,5,0
01,01,경기,파주시,3,0,0,3,0
01,01,경기,고양시,8,0,0,17,1
01,01,경기,광주시,2,0,0,2,0
01,01,경기,연천군,1,1,0,0,0
01,01,경기,포천시,4,0,0,6,4
01,01,경기,가평군,1,0,0,1,0
01,01,경기,양평군,1,0,0,1,1
01,01,경기,이천시,3,0,1,3,0
01,01,경기,용인시,8,0,1,8,0
01,01,경기,안성시,2,0,0,2,0
01,01,경기,김포시,7,0,3,7,0
01,01,경기,동두천시,1,0,0,2,0
01,01,경기,과천시,1,0,0,1,0
01,01,경기,군포시,2,0,0,1,1
01,01,경기,남양주시,6,0,2,8,0
01,01,경기,오산시,3,0,0,3,0
01,01,강원,춘천시,1,0,1,1,0
01,01,강원,원주시,3,0,2,3,0
01,01,강원,강릉시,4,0,3,4,0
01,01,강원,속초시,2,0,0,6,0
01,01,강원,삼척시,2,0,0,2,0
01,01,강원,홍천군,1,0,1,0,0
01,01,강원,정선군,1,0,0,1,0
01,01,강원,양양군,1,0,0,2,0
